,name,lastName,uri,worthChange,age,source_x,industry,gender,country,realTimeWorth,source_y,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Self-Made Score,Philanthropy Score,self_made
828,Sun Piaoyang,Sun,sun-piaoyang,850.084,63.0,pharmaceuticals,Healthcare,M,China,22016.049,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Lianyungang, China",China,Married,1,"Bachelor of Arts/Science, China Pharmaceutical University; Doctorate, Nanjing University",,,True
829,Lui Che Woo,Lui,lui-che-woo,-224.933,92.0,casinos/hotels,Gambling & Casinos,M,Hong Kong,11858.928,"['casinos/hotels', ' Self Made']","casinos/hotels, Self Made","Hong Kong, Hong Kong",Hong Kong,Married,5,,,,True
830,Ricardo Salinas Pliego,Salinas Pliego,ricardo-salinas-pliego,-27.026,66.0,"retail, media",Fashion & Retail,M,Mexico,13250.668,"['retail', ' media']","retail, media","Mexico City, Mexico",Mexico,Married,6,"Master of Business Administration, A. B. Freeman School of Business; Bachelor of Arts/Science, Tecnológico de Monterrey",,,False
831,Li Xiting,Li,li-xiting,1245.311,70.0,medical devices,Healthcare,M,Singapore,21549.626,"['medical devices', ' Self Made']","medical devices, Self Made","Shenzhen, China",Singapore,,,"Bachelor of Science, University of Science and Technology of China",,,True
832,Reinhold Wuerth,Wuerth,reinhold-wuerth,0.0,86.0,fasteners,Manufacturing,M,Germany,16018.098,"['fasteners', ' Self Made']","fasteners, Self Made","Kuenzelsau, Germany",Germany,Married,3,,,,True
833,"John Menard, Jr.",Menard,john-menard-jr,-0.097,81.0,home improvement stores,Fashion & Retail,M,United States,20582.437,"['home improvement stores', ' Self Made']","home improvement stores, Self Made","Eau Claire, Wisconsin",United States,Married,6,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire",9,1,True
834,Pang Kang,Pang,pang-kang,476.314,65.0,soy sauce,Food & Beverage,M,China,24265.373,"['soy sauce', ' Self Made']","soy sauce, Self Made","Foshan, China",China,,,,,,True
835,Peter Woo,Woo,peter-woo,254.928,75.0,real estate,Real Estate,M,Hong Kong,18623.056,['real estate'],real estate,"Hong Kong, Hong Kong",Hong Kong,Married,3,"Master of Business Administration, Columbia Business School",,,False
836,Roman Abramovich,Abramovich,roman-abramovich,-37.17,55.0,"steel, investments",Diversified,M,Russia,14308.922,"['steel', ' investments', ' Self Made']","steel, investments, Self Made","Moscow, Russia",Russia,Married,7,"Bachelor of Arts/Science, Moscow State Law Academy",,,True
837,Udo & Harald Tschira,Tschira,udo-harald-tschira,1.241,,software,Technology,M,Germany,4219.588,['software'],software,Germany,Germany,,,,,,False
