,name,lastName,uri,worthChange,age,source_x,industry,gender,country,realTimeWorth,source_y,Source of Wealth,Residence,Citizenship,Marital Status,Children,Education,Self-Made Score,Philanthropy Score,self_made
2436,Wen Pengcheng,Wen,wen-pengcheng,-12.856,59.0,agribusiness,Food & Beverage,M,China,1081.547,"['agribusiness', ' Self Made']","agribusiness, Self Made","Yunfu, China",China,Married,,,,,True
2437,Wong Kwong Yu,Wong,wong-kwong-yu,87.243,52.0,retail,Fashion & Retail,M,China,1251.405,"['retail', ' Self Made']","retail, Self Made","Beijing, China",China,Married,2,,,,True
2438,Wu Kaiting,Wu,wu-kaiting,,52.0,electronics,Telecom,M,Hong Kong,,"['electronics', ' Self Made']","electronics, Self Made","Xiamen, China",Hong Kong,,,,,,True
2439,Xiang Guangming,Xiang,xiang-guangming,49.922,58.0,waste disposal,Manufacturing,M,China,2406.514,"['waste disposal', ' Self Made']","waste disposal, Self Made","Wenzhou, China",China,Married,,,,,True
2440,Xie Juhua,Xie,xie-juhua,9.802,70.0,pharmaceuticals,Healthcare,F,China,3778.381,['pharmaceuticals'],pharmaceuticals,"Nanjing, China",China,Widowed,,,,,False
2441,Ken Xie,Xie,ken-xie,-133.246,58.0,cybersecurity,Technology,M,United States,6629.849,"['cybersecurity', ' Self Made']","cybersecurity, Self Made","Los Altos Hills, California",United States,Married,,"Master of Science, Stanford University; Bachelor of Science, Tsinghua University; Master of Science, Tsinghua University",8,1,True
2442,Xiu Laigui,Xiu,xiu-laigui,0.0,67.0,pharmaceuticals,Healthcare,M,China,1603.866,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Tonghua, China",China,Married,2,,,,True
2443,Yang Shaopeng,Yang,yang-shaopeng,-14.216,63.0,shipping,Logistics,M,China,5013.905,"['shipping', ' Self Made']","shipping, Self Made","Qingdao, China",China,,,,,,True
2444,Ye Cheng,Ye,ye-cheng,0.0,59.0,conglomerate,Diversified,M,China,1545.409,"['conglomerate', ' Self Made']","conglomerate, Self Made","Rizhao, China",China,,,,,,True
2445,Zhang Keqiang,Zhang,zhang-keqiang,14.591,61.0,real estate,Real Estate,M,China,1625.998,"['real estate', ' Self Made']","real estate, Self Made","Guangzhou, China",China,,,"Master of Business Administration, Murdoch University; Master of Business Administration, Murdoch University",,,True
2446,Zhang Wanzhen,Zhang,zhang-wanzhen,106.982,72.0,electronics components,Manufacturing,M,China,3292.373,"['electronics components', ' Self Made']","electronics components, Self Made","Chaozhou, China",China,,,,,,True
2447,Zhang Xiaojuan,Zhang,zhang-xiaojuan,24.177,52.0,logistics,Logistics,F,China,2209.047,"['logistics', ' Self Made']","logistics, Self Made","Shanghai, China",China,Married,,,,,True
2448,Zhang Xuanning,Zhang,zhang-xuanning,,51.0,retail,Fashion & Retail,M,China,,"['retail', ' Self Made']","retail, Self Made","Fuzhou, China",China,,,,,,True
2449,Zhang Yin,Zhang,zhang-yin,-1.538,64.0,paper manufacturing,Manufacturing,F,China,1902.37,"['paper manufacturing', ' Self Made']","paper manufacturing, Self Made","Dongguan, China",China,Married,2,,,,True
2450,Zhou Chengjian,Zhou,zhou-chengjian,,56.0,fashion retail,Fashion & Retail,M,China,,"['fashion retail', ' Self Made']","fashion retail, Self Made","Shanghai, China",China,Married,1,"EMBA, Zhejiang University",,,True
2451,Zhu Yiming,Zhu,zhu-yiming,-34.096,49.0,semiconductors,Technology,M,China,1828.151,"['semiconductors', ' Self Made']","semiconductors, Self Made","Beijing, China",China,,,,,,True
2452,Anita Zucker,Zucker,anita-zucker,-0.298,69.0,chemicals,Manufacturing,F,United States,2002.398,['chemicals'],chemicals,"Charleston, South Carolina",United States,Widowed,3,"Bachelor of Arts/Science, University of Florida; Master of Arts, University of North Florida",3,2,False
2453,Faisal Bin Qassim Al Thani,Al Thani,faisal-bin-qassim-al-thani,-13.364,73.0,"hotels, diversified",Diversified,M,Qatar,1735.883,"['hotels', ' diversified', ' Self Made']","hotels, diversified, Self Made","Doha, Qatar",Qatar,Married,10,,,,True
2454,Joao Alves de Queiroz Filho,Alves de Queiroz Filho,joao-alves-de-queiroz-filho,-11.99,68.0,pharmaceuticals,Diversified,M,Brazil,1351.073,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","São Paulo, Brazil",Brazil,Divorced,3,"Bachelor of Arts/Science, Faculdade Dom Pedro II",,,True
2455,Marc Andreessen,Andreessen,marc-andreessen,5.612,50.0,venture capital investing,Finance & Investments,M,United States,1487.1,"['venture capital investing', ' Self Made']","venture capital investing, Self Made","Atherton, California",United States,Married,1,"Bachelor of Arts/Science, University of Illinois, Urbana-Champaign",,,True
2456,Mehmet Aydinlar,Aydinlar,mehmet-aydinlar,6.446,65.0,hospitals,Healthcare,M,Turkey,1461.163,"['hospitals', ' Self Made']","hospitals, Self Made","Istanbul, Turkey",Turkey,Married,1,,,,True
2457,Thomas Bailey,Bailey,thomas-bailey,0.0,84.0,money management,Finance & Investments,M,United States,1166.0,"['money management', ' Self Made']","money management, Self Made","Aspen, Colorado",United States,Divorced,2,"Bachelor of Arts/Science, Michigan State University; Master of Business Administration, University of Western Ontario",,,True
2458,Sachin Bansal,Bansal,sachin-bansal,0.0,40.0,flipkart,Fashion & Retail,M,India,1149.127,"['flipkart', ' Self Made']","flipkart, Self Made","Bangalore, India",India,Married,1,"Bachelor of Science in Engineering, Indian Institute of Technology",,,True
2459,Pavel Baudis,Baudis,pavel-baudis,2.039,61.0,software,Technology,M,Czechia,2499.334,"['software', ' Self Made']","software, Self Made","Prague, Czechia",Czechia,Married,2,,,,True
2460,Sanjeev Bikhchandani,Bikhchandani,sanjeev-bikhchandani,-1.212,58.0,Internet,Technology,M,India,3208.831,"['Internet', ' Self Made']","Internet, Self Made","Delhi, India",India,Married,2,"Master of Business Administration, Indian Institute of Management, Ahmedabad; Bachelor of Arts/Economics, St Stephen's College (India)",,,True
2461,Mike Bingle,Bingle,mike-bingle,,49.0,private equity,Finance & Investments,M,United States,,"['private equity', ' Self Made']","private equity, Self Made","Greenwich, Connecticut",United States,,,,,,True
2462,Henadiy Boholyubov,Boholyubov,henadiy-boholyubov,0.0,59.0,"banking, investments",Diversified,M,Ukraine,1687.0,"['banking', ' investments', ' Self Made']","banking, investments, Self Made","Dnipro, Ukraine",Ukraine,Married,5,,,,True
2463,Bernhard Braun-Luedicke,Braun-Luedicke,bernhard-braun-luedicke,0.0,44.0,medical technology,Healthcare,M,Germany,1509.293,['medical technology'],medical technology,"Melsungen, Germany",Germany,,,,,,False
2464,Eva Maria Braun-Luedicke,Braun-Luedicke,eva-maria-braun-luedicke,0.0,34.0,medical technology,Healthcare,F,Germany,1509.293,['medical technology'],medical technology,"Melsungen, Germany",Germany,,,,,,False
2465,Friederike Braun-Luedicke,Braun-Luedicke,friederike-braun-luedicke,0.0,37.0,medical technology,Healthcare,F,Germany,1509.293,['medical technology'],medical technology,"Melsungen, Germany",Germany,,,,,,False
2466,Jacob Burda,Burda,jacob-burda,,,publishing,Media & Entertainment,M,Germany,,['publishing'],publishing,,Germany,,,,,,False
2467,Morris Chang,Chang,morris-chang,9.033,90.0,semiconductors,Technology,M,Taiwan,2836.94,"['semiconductors', ' Self Made']","semiconductors, Self Made","Hsinchu, Taiwan",Taiwan,Married,1,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology; Ph.D, Stanford University",,,True
2468,Chang Pyung-soon,Chang,chang-pyung-soon,0.0,70.0,educational services,Service,M,South Korea,1338.021,"['educational services', ' Self Made']","educational services, Self Made","Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Yonsei University",,,True
2469,Will Wei Cheng,Cheng,will-wei-cheng,-94.061,38.0,ride-hailing service,Service,M,China,2088.17,"['ride-hailing service', ' Self Made']","ride-hailing service, Self Made","Beijing, China",China,,,"Bachelor of Business Administration, Beijing University of Chemical Technology",,,True
2470,Cheng Xianfeng,Cheng,cheng-xianfeng,-24.411,53.0,pharmaceuticals,Healthcare,M,China,1354.676,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Hefei, China",China,,,,,,True
2471,Yvon Chouinard,Chouinard,yvon-chouinard,0.0,83.0,Patagonia,Fashion & Retail,M,United States,1800.0,"['Patagonia', ' Self Made']","Patagonia, Self Made","Ventura, California",United States,Married,2,,,,True
2472,Pollyanna Chu,Chu,pollyanna-chu,,63.0,financial services,Finance & Investments,F,Hong Kong,,"['financial services', ' property', ' Self Made']","financial services, property, Self Made","Hong Kong, Hong Kong",Hong Kong,Married,1,"Bachelor of Arts/Science, Golden Gate University",,,True
2473,Sandor Csanyi,Csanyi,sandor-csanyi,-0.371,68.0,"finance, real estate",Diversified,M,Hungary,1163.743,"['finance', ' real estate', ' Self Made']","finance, real estate, Self Made","Budapest, Hungary",Hungary,Married,5,,,,True
2474,Diao Zhizhong,Diao,diao-zhizhong,-22.017,58.0,software,Technology,M,China,2112.952,"['software', ' Self Made']","software, Self Made","Beijing, China",China,,,,,,True
2475,Jamie Dimon,Dimon,jamie-dimon,-2.212,65.0,banking,Finance & Investments,M,United States,1909.997,"['banking', ' Self Made']","banking, Self Made","New York, New York",United States,Married,3,"Master of Business Administration, Harvard Business School",,,True
2476,K. Dinesh,Dinesh,k-dinesh,11.216,67.0,software services,Technology,M,India,2768.801,"['software services', ' Self Made']","software services, Self Made","Bangalore, India",India,Married,2,"Master of Science, Bangalore University",,,True
2477,Dou Zhenggang,Dou,dou-zhenggang,0.0,68.0,"energy, chemicals",Diversified,M,China,2005.698,"['energy', ' chemicals', ' Self Made']","energy, chemicals, Self Made","Hangzhou, China",China,,,,,,True
2478,Egon Durban,Durban,egon-durban,0.0,48.0,private equity,Finance & Investments,M,United States,1338.0,"['private equity', ' Self Made']","private equity, Self Made","Atherton, California",United States,Married,3,"Bachelor of Science, Georgetown University",,,True
2479,Alexander Dzhaparidze,Dzhaparidze,alexander-dzhaparidze,,66.0,oil services,Energy,M,Russia,,"['oil services', ' Self Made']","oil services, Self Made","Moscow, Russia",Russia,Married,5,"Master of Science, Gubkin Institute of Petrochemicals and Natural Gas",,,True
2480,Bulent Eczacibasi,Eczacibasi,bulent-eczacibasi,,71.0,"pharmaceuticals, diversified",Diversified,M,Turkey,,"['pharmaceuticals', ' diversified']","pharmaceuticals, diversified","Istanbul, Turkey",Turkey,Married,2,"Bachelor of Arts/Science, Imperial College London; Master of Science, Massachusetts Institute of Technology",,,False
2481,Joseph Edelman,Edelman,joseph-edelman,0.0,66.0,hedge funds,Finance & Investments,M,United States,2910.0,"['hedge funds', ' Self Made']","hedge funds, Self Made","New York, New York",United States,Married,,"Master of Business Administration, New York University; Bachelor of Arts/Science, University of California, San Diego",7,,True
2482,Bob Ell,Ell,bob-ell,0.0,76.0,real estate,Real Estate,M,Australia,2177.338,"['real estate', ' Self Made']","real estate, Self Made","Surfers Paradise, Australia",Australia,Married,5,,,,True
2483,Henry Engelhardt,Engelhardt,henry-engelhardt,-5.016,63.0,insurance,Finance & Investments,M,United States,1602.501,"['insurance', ' Self Made']","insurance, Self Made","Cardiff, United Kingdom",United States,Married,4,"Master of Business Administration, INSEAD; Bachelor of Arts/Science, University of Michigan",,,True
2484,John Farber,Farber,john-farber,-1.667,96.0,chemicals,Manufacturing,M,United States,1579.274,"['chemicals', ' Self Made']","chemicals, Self Made","New York, New York",United States,Married,1,"Ph.D, Polytechnic Institute",8,,True
2485,Gleb Fetisov,Fetisov,gleb-fetisov,0.0,55.0,investments,Telecom,M,Russia,1211.0,"['investments', ' Self Made']","investments, Self Made","Moscow, Russia",Russia,Married,3,"Doctorate, Moscow State University",,,True
2486,J. Christopher Flowers,Flowers,j-christopher-flowers,-0.036,64.0,investments,Finance & Investments,M,United States,1220.3,"['investments', ' Self Made']","investments, Self Made","New York, New York",United States,Married,2,"Bachelor of Arts/Science, Harvard University",,,True
2487,Miguel Fluxa Rossello,Fluxa Rossello,miguel-fluxa-rossello,0.0,83.0,hotels,Service,M,Spain,1288.297,['hotels'],hotels,"Esporles, Spain",Spain,Married,2,,,,False
2488,Elisabeth Furtwaengler,Furtwaengler,elisabeth-furtwaengler,,29.0,publishing,Media & Entertainment,F,Germany,,['publishing'],publishing,,Germany,,,,,,False
2489,Gao Yi,Gao,gao-yi,122.391,53.0,pharmaceuticals,Healthcare,M,China,1571.058,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Changsha, China",China,,,,,,True
2490,Dan Gertler,Gertler,dan-gertler,0.0,47.0,mining,Metals & Mining,M,Israel,1212.096,['mining'],mining,"Bnei Brak, Israel",Israel,Married,11,"Diploma, High School",,,False
2491,Lawrence Golub,Golub,lawrence-golub,0.0,62.0,private equity,Finance & Investments,M,United States,1200.0,"['private equity', ' Self Made']","private equity, Self Made","New York, New York",United States,,,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Harvard College; Doctor of Jurisprudence, Harvard Law School",7,,True
2492,Jitse Groen,Groen,jitse-groen,,43.0,food delivery service,Food & Beverage,M,Netherlands,,"['food delivery service', ' Self Made']","food delivery service, Self Made",Netherlands,Netherlands,,,"Bachelor of Business Administration, University of Twente",8,,True
2493,Kenneth Hao,Hao,kenneth-hao,0.0,53.0,private equity,Finance & Investments,M,United States,1338.0,"['private equity', ' Self Made']","private equity, Self Made","Hillsborough, California",United States,,,,,,True
2494,He Xiaopeng,He,he-xiaopeng,-305.112,44.0,electric vehicles,Automotive,M,China,8042.766,"['electric vehicles', ' Self Made']","electric vehicles, Self Made","Guangzhou, China",China,,,"Bachelor of Technology, South China University of Technology",,,True
2495,Timothy Headington,Headington,timothy-headington,0.0,71.0,"oil & gas, investments",Energy,M,United States,1383.208,"['oil & gas', ' investments']","oil & gas, investments","Dallas, Texas",United States,Single,,"Bachelor of Arts/Science, University of Oklahoma",5,,False
2496,Christoph Henkel,Henkel,christoph-henkel,-8.482,63.0,consumer goods,Fashion & Retail,M,Germany,1495.187,['consumer goods'],consumer goods,"London, United Kingdom",Germany,Married,,,,,False
2497,Hu Rongda,Hu,hu-rongda,-17.25,62.0,chemicals,Manufacturing,M,China,1445.433,"['chemicals', ' Self Made']","chemicals, Self Made","Jinhua, China",China,,,,,,True
2498,Hua Xuande,Hua,hua-xuande,4.331,78.0,Pharmaceuticals,Healthcare,M,China,3910.375,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Taizhou, China",China,Married,,,,,True
2499,Huang Hongyun,Huang,huang-hongyun,30.544,55.0,real estate,Real Estate,M,China,1118.163,"['real estate', ' Self Made']","real estate, Self Made","Chongqing, China",China,Married,2,"EMBA, Chongqing Universtiy",,,True
2500,Huang Wen Tsai,Huang,huang-wen-tsai,0.0,68.0,real estate,Real Estate,M,China,1540.12,"['real estate', ' Self Made']","real estate, Self Made","Guangzhou, China",China,,,,,,True
2501,"Jim Justice, II.",Justice,jim-justice-ii,,70.0,coal,Energy,M,United States,,['coal'],coal,"Lewisburg, West Virginia",United States,Married,2,"Bachelor of Arts/Science, Marshall University; Master of Business Administration, Marshall University",4,,False
2502,T.S. Kalyanaraman,Kalyanaraman,ts-kalyanaraman,,74.0,jewelry,Fashion & Retail,M,India,,"['jewelry', ' Self Made']","jewelry, Self Made","Thrissur, India",India,Married,3,,,,True
2503,Kim Sang-yeol,Kim,kim-sang-yeol,0.0,60.0,construction,Construction & Engineering,M,South Korea,1931.387,"['construction', ' Self Made']","construction, Self Made","Seoul, South Korea",South Korea,Married,2,"Bachelor of Arts/Science, Chosun University",,,True
2504,Andrei Kosogov,Kosogov,andrei-kosogov,-0.366,60.0,Banking,Energy,M,Russia,1338.212,"['Banking', ' Self Made']","Banking, Self Made","Moscow, Russia",Russia,Married,3,"Bachelor of Science in Engineering, Moscow Power Engineering Institute",,,True
2505,Hemendra Kothari,Kothari,hemendra-kothari,0.0,75.0,Financial Services,Finance & Investments,M,India,1270.257,['Financial Services'],Financial Services,"Mumbai, India",India,Widowed,2,"Bachelor of Arts/Economics, Bombay University",,,False
2506,Raymond Kwok,Kwok,raymond-kwok,3.274,68.0,real estate,Real Estate,M,Hong Kong,1243.556,['real estate'],real estate,"Hong Kong, Hong Kong",Hong Kong,Married,3,"Master of Arts, Cambridge University; Master of Business Administration, Harvard Business School",,,False
2507,Joe Lacob,Lacob,joe-lacob,0.0,65.0,Golden State Warriors,Sports,M,United States,1227.0,"['Golden State Warriors', ' Self Made']","Golden State Warriors, Self Made","Atherton, California",United States,Married,4,"Master of Business Administration, Stanford University; Masters of Public Health, UCLA; Bachelor of Arts/Science, University of California, Irvine",,,True
2508,Lee Boo-jin,Lee,lee-boo-jin,20.295,51.0,Samsung,Service,F,South Korea,4098.42,['Samsung'],Samsung,"Seoul, South Korea",South Korea,Divorced,1,"Bachelor of Arts/Science, Yonsei University",,,False
2509,Nicola Leibinger-Kammueller,Leibinger-Kammueller,nicola-leibinger-kammueller,0.0,61.0,manufacturing,Manufacturing,F,Germany,2133.704,['manufacturing'],manufacturing,"Berlin, Germany",Germany,Married,4,,,,False
2510,Wolfgang Leitner,Leitner,wolfgang-leitner,-10.394,68.0,engineering,Construction & Engineering,M,Austria,1961.172,"['engineering', ' Self Made']","engineering, Self Made","Graz, Austria",Austria,Married,2,,,,True
2511,Solomon Lew,Lew,solomon-lew,-23.481,76.0,retail,Fashion & Retail,M,Australia,2367.967,"['retail', ' Self Made']","retail, Self Made","Melbourne, Australia",Australia,Married,3,,,,True
2512,Li Jiaquan,Li,li-jiaquan,23.876,58.0,chemicals,Manufacturing,M,China,1730.601,"['chemicals', ' Self Made']","chemicals, Self Made","Chengdu, China",China,,,,,,True
2513,Li Rucheng,Li,li-rucheng,21.344,70.0,apparel,Fashion & Retail,M,China,1646.314,"['apparel', ' Self Made']","apparel, Self Made","Ningbo, China",China,,,,,,True
2514,Li Xiaohua,Li,li-xiaohua,257.495,59.0,packaging,Manufacturing,M,China,7358.41,"['packaging', ' Self Made']","packaging, Self Made","Yuxi, China",China,Married,,"Master of Science, University of Massachusetts",,,True
2515,Liu Ming Chung,Liu,liu-ming-chung,-1.422,58.0,paper,Manufacturing,M,Brazil,1826.756,"['paper', ' Self Made']","paper, Self Made","Hong Kong, Hong Kong",Brazil,Married,,,,,True
2516,Liu Xiaodong,Liu,liu-xiaodong,323.4,54.0,flavorings,Manufacturing,M,China,3845.628,"['flavorings', ' Self Made']","flavorings, Self Made","Shanghai, China",China,,,,,,True
2517,Liu Xuejing,Liu,liu-xuejing,2.68,70.0,"copper, poultry",Diversified,M,China,1244.081,"['copper', ' poultry', ' Self Made']","copper, poultry, Self Made","Liaocheng, China",China,Married,,,,,True
2518,Lu Hongyan,Lu,lu-hongyan,40.104,44.0,online games,Media & Entertainment,M,China,1374.165,"['online games', ' Self Made']","online games, Self Made","Xiamen, China",China,,,,,,True
2519,Daniel Lubetzky,Lubetzky,daniel-lubetzky,0.0,53.0,snack bars,Food & Beverage,M,United States,2174.0,"['snack bars', ' Self Made']","snack bars, Self Made","New York, New York",United States,Married,4,"Bachelor of Arts/Science, Trinity University of San Antonio",,,True
2520,Anand Mahindra,Mahindra,anand-mahindra,7.604,66.0,automobiles,Automotive,M,India,1873.508,['diversified'],diversified,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Harvard University; Master of Business Administration, Harvard University",,,False
2521,George Marcus,Marcus,george-marcus,-12.523,80.0,real estate,Real Estate,M,United States,1786.241,"['real estate', ' Self Made']","real estate, Self Made","Los Altos Hills, California",United States,,,"Bachelor of Arts/Economics, San Francisco State",,,True
2522,Daniel Mate,Mate,daniel-mate,-8.403,58.0,"mining, commodities",Metals & Mining,M,Spain,2721.788,"['mining', ' commodities', ' Self Made']","mining, commodities, Self Made","Kanton Schwyz, Switzerland",Spain,Married,2,"Bachelor of Arts/Science, Universidad Comercial de Deusto; Law Degree, Universidad Comercial de Deusto",,,True
2523,Greg Mondre,Mondre,greg-mondre,0.0,47.0,private equity,Finance & Investments,M,United States,1338.0,"['private equity', ' Self Made']","private equity, Self Made","New York, New York",United States,Married,,,,,True
2524,Jerry Moyes,Moyes,jerry-moyes,0.645,77.0,transportation,Logistics,M,United States,1777.604,"['transportation', ' Self Made']","transportation, Self Made","Tolleson, Arizona",United States,Married,10,,,1,True
2525,Mu Rongjun,Mu,mu-rongjun,55.362,41.0,e-commerce,Technology,M,China,4031.746,"['e-commerce', ' Self Made']","e-commerce, Self Made","Beijing, China",China,,,"Bachelor of Engineering, Tsinghua University; Master, Tsinghua University",,,True
2526,Kentaro Ogawa,Ogawa,kentaro-ogawa,1.085,73.0,restaurants,Food & Beverage,M,Japan,1486.6,"['restaurants', ' Self Made']","restaurants, Self Made","Tokyo, Japan",Japan,Married,,,,,True
2527,Alberto Palatchi,Palatchi,alberto-palatchi,-1.217,72.0,wedding dresses,Fashion & Retail,M,Spain,1465.551,"['wedding dresses', ' Self Made']","wedding dresses, Self Made","Madrid, Spain",Spain,Separated,3,,,,True
2528,Sushilkumar Parekh,Parekh,sushilkumar-parekh,25.141,88.0,adhesives,Manufacturing,M,India,1802.547,['adhesives'],adhesives,"Mumbai, India",India,Married,3,,,,False
2529,Florentino Perez,Perez,florentino-perez,-13.394,74.0,construction,Construction & Engineering,M,Spain,1821.725,"['construction', ' Self Made']","construction, Self Made","Madrid, Spain",Spain,Widowed,3,,,,True
2530,Mark Pincus,Pincus,mark-pincus,-14.177,55.0,online games,Technology,M,United States,1313.71,"['online games', ' Self Made']","online games, Self Made","San Francisco, California",United States,Divorced,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania",,,True
2531,Andreas Pohl,Pohl,andreas-pohl,0.0,57.0,mutual funds,Finance & Investments,M,Germany,1358.409,['mutual funds'],mutual funds,"Marburg, Germany",Germany,Married,3,,,,False
2532,"Reinfried Pohl, Jr.",Pohl,reinfried-pohl-jr,0.0,62.0,mutual funds,Finance & Investments,M,Germany,1358.409,['mutual funds'],mutual funds,"Marburg, Germany",Germany,Married,5,,,,False
2533,Murdaya Poo,Poo,murdaya-poo,-25.849,80.0,diversified,Diversified,M,Indonesia,1230.821,['diversified'],diversified,"Jakarta, Indonesia",Indonesia,Married,4,,,,False
2534,Forrest Preston,Preston,forrest-preston,0.0,88.0,health care,Healthcare,M,United States,1093.628,"['health care', ' Self Made']","health care, Self Made","Cleveland, Tennessee",United States,Widowed,,Oregon State University; Walla Walla College,8,,True
2535,Tom Preston-Werner,Preston-Werner,tom-preston-werner,,42.0,collaborative software,Technology,M,United States,,"['collaborative software', ' Self Made']","collaborative software, Self Made","San Francisco, California",United States,Married,,"Drop Out, Harvey Mudd College",,,True
2536,Theodore Rachmat,Rachmat,theodore-rachmat,2.837,77.0,diversified,Diversified,M,Indonesia,2917.034,['diversified'],diversified,"Jakarta, Indonesia",Indonesia,Married,3,"Bachelor of Arts/Science, Bandung Institute of Technology",,,False
2537,Andrei Rappoport,Rappoport,andrei-rappoport,0.0,58.0,investments,Finance & Investments,M,Russia,1164.3,"['investments', ' Self Made']","investments, Self Made","Moscow, Russia",Russia,Married,2,"Bachelor of Arts/Science, Donetsk National University",,,True
2538,Ren Zhengfei,Ren,ren-zhengfei,0.0,77.0,telecom equipment,Telecom,M,China,1380.287,"['telecom equipment', ' Self Made']","telecom equipment, Self Made","Shenzhen, China",China,,,,,,True
2539,Boris Rotenberg,Rotenberg,boris-rotenberg,0.0,64.0,"construction, pipes, chemicals",Construction & Engineering,M,Russia,1225.576,"['construction', ' pipes', ' chemicals', ' Self Made']","construction, pipes, chemicals, Self Made","Moscow, Russia",Russia,Married,5,"Bachelor of Arts/Science, Leningrad Institute of Physical Culture",,,True
2540,Thomas Sandell,Sandell,thomas-sandell,0.0,60.0,hedge funds,Finance & Investments,M,Sweden,1281.78,"['hedge funds', ' Self Made']","hedge funds, Self Made","London, United Kingdom",Sweden,Married,1,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, Uppsala University",,,True
2541,Anatoly Sedykh,Sedykh,anatoly-sedykh,0.0,57.0,steel pipes,Metals & Mining,M,Russia,1264.095,"['steel pipes', ' Self Made']","steel pipes, Self Made","Moscow, Russia",Russia,Married,2,"Bachelor of Science in Engineering, Moscow Institute of Steel and Alloys",,,True
2542,Bhadresh Shah,Shah,bhadresh-shah,15.056,70.0,engineering,Manufacturing,M,India,1495.074,"['engineering', ' Self Made']","engineering, Self Made","Ahmedabad, India",India,Married,2,"Bachelor of Science in Engineering, Indian Institute of Technology",,,True
2543,Ron Sim,Sim,ron-sim,0.286,63.0,retail,Fashion & Retail,M,Singapore,1296.637,"['retail', ' Self Made']","retail, Self Made","Singapore, Singapore",Singapore,Married,3,,,,True
2544,Basudeo Singh,Singh,basudeo-singh,4.812,81.0,pharmaceuticals,Healthcare,M,India,1744.632,"['pharmaceuticals', ' Self Made']","pharmaceuticals, Self Made","Mumbai, India",India,Married,3,"Master of Arts, Patna University",,,True
2545,Salil Singhal,Singhal,salil-singhal-1,-8.693,74.0,agrochemicals,Manufacturing,M,India,2778.175,['agrochemicals'],agrochemicals,"Delhi, India",India,Married,3,,,,False
2546,Jared Smith,Smith,jared-smith-1,0.0,47.0,cloud computing,Technology,M,United States,1260.0,"['cloud computing', ' Self Made']","cloud computing, Self Made","Provo, Utah",United States,,,"Bachelor of Science, London School of Economics",,,True
2547,Zakhar Smushkin,Smushkin,zakhar-smushkin,,59.0,"pulp and paper, diversified",Diversified,M,Russia,,"['pulp and paper', ' diversified', ' Self Made']","pulp and paper, diversified, Self Made","Saint Petersburg, Russia",Russia,Married,1,"Master of Science, Leningrad Technological Institute of Pulp and Paper Industry",,,True
2548,Djoko Susanto,Susanto,djoko-susanto,7.853,71.0,supermarkets,Fashion & Retail,M,Indonesia,1894.655,"['supermarkets', ' Self Made']","supermarkets, Self Made","Jakarta, Indonesia",Indonesia,Married,5,,,,True
2549,Sukanto Tanoto,Tanoto,sukanto-tanoto,0.0,71.0,diversified,Diversified,M,Indonesia,2142.672,"['diversified', ' Self Made']","diversified, Self Made","Singapore, Singapore",Indonesia,Married,4,,,,True
2550,Jim Thompson,Thompson,jim-thompson,0.0,81.0,logistics,Logistics,M,United States,1441.924,"['logistics', ' Self Made']","logistics, Self Made","Hong Kong, Hong Kong",United States,Married,2,"Bachelor of Arts/Science, San Jose State University",,,True
2551,Ion Tiriac,Tiriac,ion-tiriac,0.0,82.0,"banking, insurance",Finance & Investments,M,Romania,1577.763,"['banking', ' insurance', ' Self Made']","banking, insurance, Self Made","Bucharest, Romania",Romania,Single,2,,,,True
2552,Wilma Tisch,Tisch,wilma-tisch,-1.801,94.0,diversified,Finance & Investments,F,United States,1407.934,['diversified'],diversified,"New York, New York",United States,Widowed,4,"Bachelor of Arts/Science, Skidmore College",,,False
2553,Thomas Tull,Tull,thomas-tull,-99.072,51.0,"movies, investments",Media & Entertainment,M,United States,2847.062,"['movies', ' investments', ' Self Made']","movies, investments, Self Made","Pittsburgh, Pennsylvania",United States,Married,,,9,2,True
2554,John Van Lieshout,Van Lieshout,john-van-lieshout,0.0,75.0,real estate,Real Estate,M,Australia,1400.015,"['real estate', ' Self Made']","real estate, Self Made","Brisbane, Australia",Australia,Married,3,"Diploma, High School",,,True
2555,Radha Vembu,Vembu,radha-vembu,0.0,48.0,technology,Technology,F,India,1487.46,['business software'],business software,"Chennai, India",India,Married,1,"Bachelor of Arts/Economics, Indian Institute of Technology Madras (IIT Madras)",,,False
2556,Rufino Vigil Gonzalez,Vigil Gonzalez,rufino-vigil-gonzalez,-20.082,73.0,steel,Metals & Mining,M,Mexico,2599.503,"['steel', ' Self Made']","steel, Self Made","Mexico City, Mexico",Mexico,Married,4,"Bachelor of Arts/Science, Universidad Iberoamericana",,,True
