,name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage,position,rank,worth,title,government,pay,managementAssets
2309,Pierre Karl Péladeau,Péladeau,pierre-karl-peladeau,no-pic,-5.584,60.0,media,Media & Entertainment,M,Canada,1639104902515,,,1667.293,1905.0,1905.0,//specials-images.forbesimg.com/imageserve/5c6da05331358e1c187f2214/416x416.jpg?background=000000&cropX1=9&cropX2=1903&cropY1=13&cropY2=1906,1586.0,1513.0,1400.0,,,,
2310,Pu Zhongjie,Pu,pu-zhongjie,no-pic,27.604,58.0,medical equipment,Healthcare,M,China,1639104902515,,,1296.96,2286.0,2286.0,,1587.0,1513.0,1400.0,,,,
2311,Qian Ying,Qian,qian-ying,no-pic-female,-2.575,55.0,pig breeding,Food & Beverage,F,China,1639104902515,,,1457.889,2121.0,2121.0,,1588.0,1513.0,1400.0,,,,
2312,Qiu Jianping,Qiu,qiu-jianping,qiu-jianping,20.281,59.0,hand tools,Manufacturing,M,China,1639104902515,,,3511.973,943.0,943.0,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,1589.0,1513.0,1400.0,,,,
2313,P.V. Ramprasad Reddy,Reddy,pv-ramprasad-reddy,pv-ramprasad-reddy,8.595,63.0,pharmaceuticals,Healthcare,M,India,1639104902515,,,2256.5,1477.0,1477.0,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,1590.0,1513.0,1400.0,,,,
2314,Katie Rodan,Rodan,katie-rodan,katie-rodan,,66.0,skin care,Fashion & Retail,F,United States,1586220790180,CA,California,,,,//specials-images.forbesimg.com/imageserve/5bbbc5cfa7ea4342a949d25e/416x416.jpg?background=000000&cropX1=0&cropX2=2832&cropY1=79&cropY2=2912,1591.0,1513.0,1400.0,,,,
2315,Hussain Sajwani,Sajwani,hussain-sajwani,hussain-sajwani,0.288,68.0,real estate,Real Estate,M,United Arab Emirates,1639104902515,,,2637.325,1283.0,1283.0,https://specials-images.forbesimg.com/imageserve/603d60e6d1100129fa70b050/416x416.jpg?background=000000&cropX1=382&cropX2=1181&cropY1=216&cropY2=1015,1592.0,1513.0,1400.0,,,,
2316,Karin Schick,Schick,karin-schick,no-pic-female,22.002,,information technology,Technology,F,Germany,1639104902515,,,3293.516,1000.0,1000.0,//specials-images.forbesimg.com/imageserve/5a7e1c0131358e4955ad10a9/416x416.jpg?background=000000&cropX1=2030&cropX2=5379&cropY1=270&cropY2=3616,1593.0,1513.0,1400.0,,,,
2317,Arnout Schuijff,Schuijff,arnout-schuijff,no-pic,-48.27,54.0,payments software,Technology,M,Netherlands,1639104902515,,,4344.58,731.0,731.0,,1594.0,1513.0,1400.0,,,,
2318,Shao Qinxiang,Shao,shao-qinxiang,no-pic,1.196,67.0,diversified,Manufacturing,M,China,1639104902515,,,1694.782,1875.0,1875.0,,1595.0,1513.0,1400.0,,,,
2319,Prachak Tangkaravakoon,Tangkaravakoon,prachak-tangkaravakoon,no-pic,9.316,77.0,paints,Manufacturing,M,Thailand,1639104902515,,,1459.561,2116.0,2116.0,//specials-images.forbesimg.com/imageserve/5ad8df8031358e4112b82e99/416x416.jpg?background=000000&cropX1=1002&cropX2=2560&cropY1=453&cropY2=2012,1596.0,1513.0,1400.0,,,,
2320,David Teoh,Teoh,david-teoh,no-pic,-31.556,65.0,telecom,Telecom,M,Australia,1639104902515,,,1648.986,1919.0,1919.0,//specials-images.forbesimg.com/imageserve/5e73f4c110380d0006bda8f8/416x416.jpg?background=000000&cropX1=1174&cropX2=4628&cropY1=120&cropY2=3572,1597.0,1513.0,1400.0,,,,
2321,Jonathan Tisch,Tisch,jonathan-tisch,no-pic,-0.673,68.0,"insurance, NFL team",Diversified,M,United States,1639104902515,NY,New York,1462.107,2110.0,2110.0,,1598.0,1513.0,1400.0,,,,
2322,Pavel Tykac,Tykac,pavel-tykac,pavel-tykac,1.608,57.0,coal mines,Metals & Mining,M,Czechia,1639104902515,,,1704.208,1867.0,1867.0,//specials-images.forbesimg.com/imageserve/5a7dd4e9a7ea431690131787/416x416.jpg?background=000000&cropX1=1134&cropX2=2843&cropY1=0&cropY2=1710,1599.0,1513.0,1400.0,,,,
2323,Wang Jianfeng,Wang,wang-jianfeng,no-pic,-40.719,51.0,auto parts,Automotive,M,China,1639104902515,,,1466.564,2103.0,2103.0,,1600.0,1513.0,1400.0,,,,
2324,Wang Jilei,Wang,wang-jilei,no-pic,-21.06,56.0,logistics,Logistics,M,China,1639104902515,,,1695.6,1872.0,1872.0,,1601.0,1513.0,1400.0,,,,
2325,Wang Ren-sheng,Wang,wang-ren-sheng,wang-ren-sheng,0.0,90.0,retail,Fashion & Retail,M,Taiwan,1639104902515,,,1263.33,2334.0,2334.0,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,1602.0,1513.0,1400.0,,,,
2326,Chris Wanstrath,Wanstrath,chris-wanstrath,chris-wanstrath,,36.0,software,Technology,M,United States,1586220796190,CA,California,,,,//specials-images.forbesimg.com/imageserve/564a5703e4b0ffa7afe73337/416x416.jpg?background=000000&cropX1=122&cropX2=632&cropY1=29&cropY2=540,1603.0,1513.0,1400.0,,,,
2327,Stephen Winn,Winn,stephen-winn,no-pic,0.0,75.0,real estate services,Real Estate,M,United States,1639104902515,TX,Texas,1672.0,1900.0,1900.0,//specials-images.forbesimg.com/imageserve/5a90b07531358e79a28a2165/416x416.jpg?background=000000&cropX1=4&cropX2=2083&cropY1=210&cropY2=2290,1604.0,1513.0,1400.0,,,,
2328,Elaine Wynn,Wynn,elaine-wynn,elaine-wynn,-6.492,79.0,"casinos, hotels",Gambling & Casinos,F,United States,1639104902515,NV,Nevada,1895.818,1703.0,1703.0,https://specials-images.forbesimg.com/imageserve/59de488331358e542c039b45/416x416.jpg?background=000000&cropX1=805&cropX2=3550&cropY1=741&cropY2=3488,1605.0,1513.0,1400.0,"Board Member, Wynn Las Vegas, LLC",False,,
2329,Swift Xie,Xie,swift-xie,no-pic,0.0,41.0,drones,Technology,M,China,1639104902515,,,1440.0,2146.0,2147.0,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,1606.0,1513.0,1400.0,"Chief Marketing Officer, DJI Technology Co.",False,,
2330,Jane Yan,Yan,jane-yan,jane-yan,-22.549,52.0,software,Technology,F,China,1639104902515,,,1289.9,2302.0,2302.0,//specials-images.forbesimg.com/imageserve/58c32b964bbe6f0e55885cca/416x416.jpg?background=000000&cropX1=0&cropX2=416&cropY1=0&cropY2=416,1607.0,1513.0,1400.0,,,,
